Ticker,Score
MMM,-5718.102827138273
AOS,325.1738018527092
ABT,-1686.7143731095027
ABBV,458.7102706143923
ACN,-1091.9629327157782
ATVI,2058.876889317384
ADM,-1238.2654818553503
ADBE,-868.7035335739162
ADP,-304.3852058424696
AAP,-1868.571740659211
AES,701.7080968869692
AFL,473.71227091786704
A,593.6089910602185
APD,799.3829296095435
AKAM,-2440.4398075927934
ALK,-1170.459810980363
ALB,330.92713923194674
ARE,-1634.206752397721
ALGN,-289.05150171213864
ALLE,-40.962290144357645
LNT,-670.408792483576
ALL,-807.4213808217118
GOOGL,-23354.42888533906
GOOG,-19022.65821720175
MO,-2895.1495577021215
AMZN,-98046.17003345408
AMCR,1904.7933575303512
AMD,14351.41842352592
AEE,-142.21219072121775
AAL,-9248.915291388264
AEP,-377.7358280242904
AXP,-867.771010196133
AIG,-2218.3373550020483
AMT,-1436.1748994003046
AWK,-199.6845324404437
AMP,229.14874152167263
ABC,518.7839312234767
AME,266.3962905814558
AMGN,823.3432224017071
APH,1003.0959587726219
ADI,3253.654108378033
ANSS,226.94693984417893
AON,52.59382857139972
APA,3829.293089484919
AAPL,6698.999790093979
AMAT,2304.6312263972095
APTV,221.04908170650629
ACGL,3945.985512916867
ANET,2418.913229280473
AJG,496.4164502308295
AIZ,-713.1137854151751
T,28165.583868576632
ATO,-30.721952294708576
ADSK,457.1230731308142
AZO,150.96421940996942
AVB,-1118.6966508159562
AVY,162.55545797606587
BKR,-3728.493017843151
BALL,-3530.8798243300544
BAC,-51971.03998841722
BBWI,-1025.9807850722264
BAX,-8953.07412090565
BDX,-93.58706746083199
WRB,-33.24635991203321
BBY,-630.0748913704901
BIO,-107.88704057903585
TECH,-1184.5519598387973
BIIB,1982.8642938548774
BLK,-123.6369604248803
BK,116.79395188182829
BA,7987.9578943619745
BKNG,333.19346684476847
BWA,2234.1950197340047
BXP,-4201.128343429933
BSX,4456.618689125711
BMY,-687.6198466190585
AVGO,1181.595242963497
